PLOT TYPE: Azimuth (Theta Fixed, Phi Variable)
FREQUENCY: 144.00
FIXED: 90.00
START: 0.00
STEP: 10.00
POINTS: 19
60.00 -10.52 -2.78 -2.108 0.21739 -19.28 2.62648E-01 132.33 1.07840E-01 -83.88 LEFT
70.00 -13.14 -1.14 -0.878 0.10404 -12.89 3.17251E-01 79.87 7.97099E-02 -125.95 LEFT
80.00 -21.99 -3.17 -3.109 0.03414 -6.24 2.51366E-01 25.19 2.87784E-02 -172.37 LEFT
90.00 -999.99 -8.34 -8.345 0.00000 0.00 1.38468E-01 -39.27 4.85910E-13 -60.67 LINEAR
100.00 -30.07 -18.61 -18.313 0.08003 14.32 4.24570E-02 -120.42 1.13536E-02 -139.00 RIGHT
110.00 -30.85 -16.61 -16.446 0.19390 0.41 5.34890E-02 21.31 1.03786E-02 109.25 LEFT
120.00 -17.43 -7.56 -7.139 0.21254 13.56 1.51483E-01 -38.64 4.86390E-02 5.68 LEFT
130.00 -10.38 -4.44 -3.455 0.36529 19.51 2.17066E-01 -81.00 1.09542E-01 -27.74 LEFT
140.00 -7.84 -4.28 -2.697 0.53361 22.89 2.21033E-01 -112.88 1.46717E-01 -48.54 LEFT
150.00 -8.39 -6.41 -4.280 0.69341 25.17 1.72946E-01 -134.42 1.37744E-01 -60.49 LEFT
160.00 -11.51 -10.54 -7.984 0.83061 26.36 1.07588E-01 -142.08 9.62279E-02 -60.52 LEFT
170.00 -15.57 -15.23 -12.387 0.94400 23.03 6.26974E-02 -129.05 6.02412E-02 -41.43 LEFT
180.00 -16.85 -16.85 -13.836 0.99867 -45.00 5.20328E-02 -114.30 5.20328E-02 -24.23 LEFT
PLOT TYPE: Azimuth (Theta Fixed, Phi Variable)
FREQUENCY: 147.00
FIXED: 90.00
START: 0.00
STEP: 10.00
POINTS: 19
0.00 9.09 9.09 12.101 0.98798 45.00 8.97605E-01 42.45 8.97605E-01 131.76 LEFT
10.00 8.42 8.61 11.523 0.97625 -12.36 8.49004E-01 38.17 8.30667E-01 128.74 LEFT
20.00 6.25 7.00 9.652 0.89213 -20.25 7.05770E-01 24.97 6.47208E-01 119.22 LEFT
30.00 2.06 3.71 5.972 0.77390 -20.96 4.82855E-01 0.94 3.99757E-01 100.76 LEFT
40.00 -5.10 -2.66 -0.702 0.66326 -22.71 2.31936E-01 -45.28 1.75273E-01 61.46 LEFT
50.00 -9.74 -5.90 -4.398 0.40578 -27.33 1.59765E-01 -158.78 1.02745E-01 -28.76 LEFT
60.00 -8.89 -1.15 -0.473 0.22450 -19.02 2.76144E-01 129.36 1.13263E-01 -88.14 LEFT
70.00 -12.75 -0.68 -0.419 0.10420 -12.75 2.91454E-01 76.62 7.25894E-02 -129.46 LEFT
80.00 -23.12 -3.91 -3.858 0.03606 -5.91 2.00940E-01 18.91 2.20130E-02 179.48 LEFT
90.00 -999.99 -10.65 -10.645 0.00000 0.00 9.25357E-02 -60.38 3.81363E-13 -91.41 LINEAR
100.00 -27.35 -16.48 -16.135 0.06783 15.53 4.72851E-02 176.31 1.35211E-02 -168.89 LEFT
110.00 -25.61 -13.93 -13.647 0.24648 4.85 6.33798E-02 38.97 1.65165E-02 111.18 LEFT
120.00 -17.74 -7.58 -7.183 0.21013 12.92 1.31643E-01 -39.62 4.09080E-02 5.63 LEFT
130.00 -11.09 -5.00 -4.041 0.35522 19.36 1.77332E-01 -86.38 8.79136E-02 -33.95 LEFT
140.00 -9.36 -5.68 -4.127 0.51990 22.94 1.63968E-01 -118.11 1.07348E-01 -54.84 LEFT
150.00 -11.79 -9.58 -7.534 0.66491 24.89 1.04652E-01 -133.44 8.10820E-02 -61.21 LEFT
160.00 -17.66 -15.90 -13.680 0.78435 16.62 5.05230E-02 -105.25 4.12835E-02 -22.91 LEFT
170.00 -13.68 -13.33 -10.492 0.95971 -0.20 6.79498E-02 -56.66 6.52121E-02 33.36 LEFT
180.00 -11.37 -11.37 -8.357 0.98798 -45.00 8.51557E-02 -49.52 8.51557E-02 41.18 LEFT
