PLOT TYPE: Azimuth (Theta Fixed, Phi Variable)
FREQUENCY: 144.00
FIXED: 90.00
START: 0.00
STEP: 2.00
POINTS: 46
POINTS: 46
0.00 10.07 10.07 13.079 0.99033 -45.00 4.48655E+00 91.18 4.48655E+00 -178.26 LEFT
2.00 10.03 10.04 13.045 0.98938 -42.76 4.47105E+00 90.93 4.46731E+00 -178.46 LEFT
4.00 9.92 9.95 12.943 0.98624 -38.02 4.42453E+00 90.15 4.40976E+00 -179.08 LEFT
6.00 9.73 9.79 12.772 0.98059 -33.72 4.34700E+00 88.87 4.31442E+00 179.90 LEFT
8.00 9.46 9.57 12.527 0.97238 -30.75 4.23848E+00 87.05 4.18220E+00 178.46 LEFT
10.00 9.10 9.28 12.205 0.96172 -28.83 4.09908E+00 84.71 4.01440E+00 176.60 LEFT
12.00 8.66 8.92 11.798 0.94877 -27.57 3.92905E+00 81.83 3.81279E+00 174.30 LEFT
14.00 8.11 8.46 11.298 0.93365 -26.72 3.72888E+00 78.39 3.57964E+00 171.55 LEFT
16.00 7.45 7.91 10.695 0.91650 -26.13 3.49937E+00 74.36 3.31779E+00 168.31 LEFT
18.00 6.66 7.25 9.974 0.89749 -25.70 3.24178E+00 69.72 3.03072E+00 164.56 LEFT
20.00 5.73 6.45 9.115 0.87676 -25.37 2.95796E+00 64.40 2.72255E+00 160.23 LEFT
22.00 4.63 5.50 8.094 0.85450 -25.13 2.65049E+00 58.32 2.39817E+00 155.24 LEFT
24.00 3.32 4.35 6.877 0.83088 -24.95 2.32291E+00 51.33 2.06326E+00 149.44 LEFT
26.00 1.76 2.96 5.415 0.80610 -24.84 1.98006E+00 43.19 1.72443E+00 142.59 LEFT
28.00 -0.11 1.27 3.642 0.78035 -24.81 1.62872E+00 33.42 1.38959E+00 134.22 LEFT
30.00 -2.39 -0.83 1.468 0.75368 -24.92 1.27907E+00 21.09 1.06881E+00 123.44 LEFT
32.00 -5.16 -3.42 -1.195 0.72542 -25.28 9.49085E-01 4.08 7.77198E-01 108.24 LEFT
34.00 -8.27 -6.35 -4.190 0.69152 -25.98 6.77946E-01 -22.28 5.43466E-01 84.27 LEFT
36.00 -10.39 -8.13 -6.103 0.64447 -25.96 5.52244E-01 -62.91 4.25582E-01 46.74 LEFT
38.00 -9.64 -6.86 -5.023 0.60270 -24.30 6.38646E-01 -104.25 4.64043E-01 7.36 LEFT
40.00 -7.58 -4.40 -2.696 0.57370 -23.05 8.47900E-01 -132.12 5.88371E-01 -19.27 LEFT
42.00 -5.80 -2.28 -0.682 0.54602 -22.38 1.08253E+00 -151.20 7.22238E-01 -36.86 LEFT
44.00 -4.55 -0.69 0.804 0.51724 -21.91 1.29970E+00 -166.29 8.33663E-01 -50.17 LEFT
46.00 -3.78 0.44 1.830 0.48756 -21.49 1.47996E+00 -179.51 9.10850E-01 -61.46 LEFT
48.00 -3.42 1.18 2.474 0.45739 -21.08 1.61250E+00 168.17 9.49832E-01 -71.71 LEFT
50.00 -3.41 1.59 2.785 0.42705 -20.64 1.69075E+00 156.30 9.50559E-01 -81.43 LEFT
52.00 -3.74 1.70 2.789 0.39676 -20.17 1.71117E+00 144.64 9.15522E-01 -90.86 LEFT
54.00 -4.39 1.50 2.495 0.36675 -19.65 1.67289E+00 133.10 8.49084E-01 -100.12 LEFT
56.00 -5.39 0.99 1.890 0.33722 -19.08 1.57759E+00 121.64 7.57030E-01 -109.28 LEFT
58.00 -6.76 0.13 0.941 0.30837 -18.46 1.42948E+00 110.30 6.46136E-01 -118.32 LEFT
60.00 -8.59 -1.14 -0.417 0.28052 -17.76 1.23520E+00 99.20 5.23755E-01 -127.15 LEFT
62.00 -10.99 -2.94 -2.305 0.25407 -16.97 1.00377E+00 88.68 3.97382E-01 -135.54 LEFT
64.00 -14.21 -5.51 -4.957 0.22983 -16.05 7.46692E-01 79.54 2.74299E-01 -142.87 LEFT
66.00 -18.81 -9.35 -8.885 0.20941 -14.81 4.79638E-01 74.46 1.61519E-01 -147.10 LEFT
68.00 -26.27 -15.44 -15.092 0.18907 -12.23 2.38029E-01 86.76 6.84074E-02 -136.68 LEFT
70.00 -29.69 -16.74 -16.529 0.10020 -11.42 2.04778E-01 150.12 4.61506E-02 -57.43 LEFT
72.00 -23.40 -10.82 -10.584 0.09046 -12.24 4.05139E-01 168.87 9.51781E-02 -34.90 LEFT
74.00 -20.49 -7.16 -6.967 0.07857 -11.36 6.16998E-01 164.38 1.33098E-01 -37.89 LEFT
76.00 -19.31 -4.93 -4.772 0.06368 -10.20 7.98226E-01 154.58 1.52338E-01 -45.56 LEFT
78.00 -19.22 -3.54 -3.419 0.04885 -8.92 9.36992E-01 142.84 1.54023E-01 -54.88 LEFT
80.00 -19.98 -2.73 -2.651 0.03527 -7.56 1.02776E+00 130.17 1.41127E-01 -64.98 LEFT
82.00 -21.57 -2.39 -2.342 0.02354 -6.13 1.06856E+00 116.99 1.17528E-01 -75.52 LEFT
84.00 -24.13 -2.46 -2.432 0.01399 -4.65 1.06032E+00 103.53 8.75158E-02 -86.30 LEFT
86.00 -28.10 -2.91 -2.900 0.00684 -3.13 1.00652E+00 89.99 5.53900E-02 -97.17 LEFT
88.00 -34.97 -3.76 -3.759 0.00218 -1.57 9.12777E-01 76.57 2.51076E-02 -107.98 LEFT
90.00 -999.99 -5.06 -5.056 0.00000 0.00 7.86470E-01 63.58 3.15963E-12 61.52 LINEAR
PLOT TYPE: Azimuth (Theta Fixed, Phi Variable)
FREQUENCY: 146.00
FIXED: 90.00
START: 0.00
STEP: 2.00
POINTS: 46
0.00 10.19 10.19 13.199 0.99895 45.00 5.11044E+00 52.21 5.11044E+00 142.15 LEFT
2.00 10.15 10.15 13.161 0.99916 3.88 5.09054E+00 51.93 5.08630E+00 141.92 LEFT
4.00 10.02 10.05 13.048 0.99572 -19.52 5.03091E+00 51.07 5.01419E+00 141.23 LEFT
6.00 9.81 9.88 12.857 0.98954 -22.30 4.93177E+00 49.64 4.89497E+00 140.06 LEFT
8.00 9.52 9.63 12.585 0.98091 -23.16 4.79349E+00 47.63 4.73013E+00 138.42 LEFT
10.00 9.13 9.31 12.227 0.96995 -23.54 4.61672E+00 45.01 4.52181E+00 136.29 LEFT
12.00 8.63 8.89 11.776 0.95674 -23.75 4.40242E+00 41.77 4.27286E+00 133.64 LEFT
14.00 8.03 8.38 11.222 0.94140 -23.87 4.15203E+00 37.87 3.98688E+00 130.43 LEFT
16.00 7.31 7.77 10.555 0.92405 -23.95 3.86756E+00 33.26 3.66829E+00 126.61 LEFT
18.00 6.45 7.03 9.758 0.90483 -24.01 3.55181E+00 27.87 3.32245E+00 122.12 LEFT
20.00 5.43 6.15 8.814 0.88390 -24.08 3.20861E+00 21.58 2.95570E+00 116.84 LEFT
22.00 4.24 5.10 7.698 0.86140 -24.15 2.84315E+00 14.22 2.57556E+00 110.60 LEFT
24.00 2.83 3.85 6.379 0.83745 -24.25 2.46252E+00 5.50 2.19096E+00 103.10 LEFT
26.00 1.19 2.37 4.827 0.81211 -24.41 2.07677E+00 -5.08 1.81285E+00 93.88 LEFT
28.00 -0.72 0.63 3.019 0.78518 -24.66 1.70097E+00 -18.38 1.45545E+00 82.11 LEFT
30.00 -2.85 -1.31 0.997 0.75574 -25.03 1.35973E+00 -35.90 1.13905E+00 66.37 LEFT
32.00 -4.95 -3.19 -0.971 0.72159 -25.37 1.09514E+00 -59.77 8.94645E-01 44.65 LEFT
34.00 -6.33 -4.27 -2.166 0.68179 -25.15 9.67738E-01 -90.41 7.62963E-01 16.40 LEFT
36.00 -6.34 -3.88 -1.929 0.64324 -24.16 1.01140E+00 -122.20 7.62098E-01 -13.40 LEFT
38.00 -5.38 -2.54 -0.721 0.61076 -23.15 1.18037E+00 -148.57 8.51419E-01 -38.22 LEFT
40.00 -4.24 -1.06 0.644 0.58105 -22.44 1.39963E+00 -169.10 9.70176E-01 -57.20 LEFT
42.00 -3.33 0.20 1.793 0.55156 -21.94 1.61749E+00 174.10 1.07837E+00 -72.29 LEFT
44.00 -2.72 1.15 2.640 0.52166 -21.52 1.80463E+00 159.41 1.15596E+00 -85.12 LEFT
46.00 -2.44 1.79 3.184 0.49140 -21.14 1.94400E+00 145.86 1.19412E+00 -96.70 LEFT
48.00 -2.47 2.15 3.438 0.46098 -20.74 2.02539E+00 132.91 1.19028E+00 -107.59 LEFT
50.00 -2.80 2.23 3.413 0.43058 -20.32 2.04312E+00 120.25 1.14582E+00 -118.11 LEFT
52.00 -3.43 2.02 3.108 0.40043 -19.86 1.99519E+00 107.69 1.06489E+00 -128.49 LEFT
54.00 -4.39 1.52 2.507 0.37074 -19.36 1.88283E+00 95.11 9.53647E-01 -138.85 LEFT
56.00 -5.71 0.68 1.579 0.34175 -18.81 1.71034E+00 82.44 8.19620E-01 -149.30 LEFT
58.00 -7.44 -0.55 0.260 0.31383 -18.19 1.48477E+00 69.63 6.71165E-01 -159.93 LEFT
60.00 -9.71 -2.28 -1.563 0.28754 -17.51 1.21563E+00 56.69 5.16871E-01 -170.83 LEFT
62.00 -12.73 -4.76 -4.115 0.26410 -16.75 9.14423E-01 43.62 3.65033E-01 177.81 LEFT
64.00 -17.01 -8.50 -7.931 0.24709 -15.86 5.94050E-01 30.57 2.23161E-01 165.55 LEFT
66.00 -24.18 -15.41 -14.868 0.25641 -14.58 2.68253E-01 18.38 9.77517E-02 149.97 LEFT
68.00 -40.03 -29.72 -29.331 0.17608 -14.01 5.16600E-02 166.78 1.57632E-02 24.50 RIGHT
70.00 -24.81 -13.17 -12.885 0.09218 -13.77 3.47027E-01 165.19 9.08692E-02 -36.71 LEFT
72.00 -20.62 -8.26 -8.012 0.09176 -12.57 6.11182E-01 151.67 1.47318E-01 -51.87 LEFT
74.00 -18.88 -5.56 -5.366 0.07887 -11.37 8.33310E-01 137.31 1.80000E-01 -65.01 LEFT
76.00 -18.36 -3.93 -3.773 0.06388 -10.13 1.00628E+00 122.55 1.90920E-01 -77.78 LEFT
78.00 -18.71 -2.95 -2.838 0.04922 -8.83 1.12572E+00 107.50 1.83450E-01 -90.52 LEFT
80.00 -19.80 -2.47 -2.390 0.03587 -7.47 1.19005E+00 92.22 1.61824E-01 -103.34 LEFT
82.00 -21.65 -2.39 -2.343 0.02432 -6.06 1.20034E+00 76.76 1.30718E-01 -116.30 LEFT
84.00 -24.44 -2.69 -2.662 0.01486 -4.60 1.16002E+00 61.16 9.48557E-02 -129.38 LEFT
86.00 -28.61 -3.36 -3.344 0.00764 -3.09 1.07446E+00 45.51 5.86614E-02 -142.56 LEFT
88.00 -35.68 -4.42 -4.419 0.00272 -1.56 9.50455E-01 29.93 2.60004E-02 -155.78 LEFT
90.00 -999.99 -5.97 -5.965 0.00000 0.00 7.95719E-01 14.64 3.19197E-12 11.07 LINEAR
PLOT TYPE: Azimuth (Theta Fixed, Phi Variable)
FREQUENCY: 147.00
FIXED: 90.00
START: 0.00
STEP: 2.00
POINTS: 46
0.00 10.21 10.21 13.225 0.98825 45.00 3.23412E+00 11.93 3.23412E+00 101.25 LEFT
2.00 10.17 10.18 13.182 0.98915 42.82 3.21962E+00 11.61 3.21695E+00 100.98 LEFT
4.00 10.03 10.06 13.054 0.99134 33.80 3.17623E+00 10.64 3.16572E+00 100.18 LEFT
6.00 9.79 9.86 12.837 0.99187 12.03 3.10432E+00 9.01 3.08127E+00 98.82 LEFT
8.00 9.46 9.57 12.528 0.98646 -6.93 3.00452E+00 6.70 2.96502E+00 96.89 LEFT
10.00 9.02 9.20 12.122 0.97653 -14.81 2.87781E+00 3.68 2.81902E+00 94.35 LEFT
12.00 8.47 8.73 11.612 0.96370 -18.33 2.72560E+00 -0.09 2.64594E+00 91.17 LEFT
14.00 7.80 8.15 10.989 0.94848 -20.20 2.54980E+00 -4.69 2.44918E+00 87.28 LEFT
16.00 7.00 7.45 10.241 0.93114 -21.35 2.35301E+00 -10.20 2.23289E+00 82.57 LEFT
18.00 6.05 6.62 9.356 0.91184 -22.12 2.13875E+00 -16.79 2.00211E+00 76.90 LEFT
20.00 4.94 5.65 8.321 0.89073 -22.71 1.91175E+00 -24.65 1.76292E+00 70.07 LEFT
22.00 3.67 4.52 7.126 0.86787 -23.19 1.67848E+00 -34.14 1.52269E+00 61.74 LEFT
24.00 2.24 3.23 5.774 0.84319 -23.65 1.44800E+00 -45.75 1.29062E+00 51.43 LEFT
26.00 0.68 1.84 4.308 0.81635 -24.10 1.23336E+00 -60.22 1.07844E+00 38.44 LEFT
28.00 -0.88 0.47 2.856 0.78656 -24.49 1.05326E+00 -78.41 9.01248E-01 21.95 LEFT
30.00 -2.18 -0.59 1.696 0.75311 -24.64 9.31730E-01 -100.71 7.76567E-01 1.58 LEFT
32.00 -2.87 -1.00 1.178 0.71719 -24.33 8.89469E-01 -125.76 7.17363E-01 -21.50 LEFT
34.00 -2.84 -0.64 1.408 0.68206 -23.67 9.26602E-01 -150.39 7.19788E-01 -44.31 LEFT
36.00 -2.34 0.18 2.110 0.64930 -22.97 1.01886E+00 -172.18 7.61721E-01 -64.43 LEFT
38.00 -1.74 1.12 2.930 0.61807 -22.40 1.13463E+00 169.17 8.16814E-01 -81.43 LEFT
40.00 -1.24 1.95 3.650 0.58734 -21.94 1.24844E+00 152.87 8.65250E-01 -95.99 LEFT
42.00 -0.94 2.58 4.177 0.55661 -21.55 1.34285E+00 138.11 8.95062E-01 -108.93 LEFT
44.00 -0.89 2.98 4.473 0.52578 -21.18 1.40650E+00 124.26 9.00125E-01 -120.87 LEFT
46.00 -1.11 3.14 4.526 0.49495 -20.81 1.43229E+00 110.89 8.78333E-01 -132.25 LEFT
48.00 -1.59 3.04 4.326 0.46424 -20.41 1.41636E+00 97.70 8.30417E-01 -143.39 LEFT
50.00 -2.37 2.67 3.857 0.43386 -19.99 1.35760E+00 84.48 7.59207E-01 -154.51 LEFT
52.00 -3.47 2.01 3.092 0.40404 -19.52 1.25741E+00 71.05 6.69076E-01 -165.84 LEFT
54.00 -4.93 1.00 1.987 0.37513 -19.01 1.11951E+00 57.20 5.65487E-01 -177.60 LEFT
56.00 -6.83 -0.43 0.468 0.34765 -18.45 9.49774E-01 42.68 4.54566E-01 169.88 LEFT
58.00 -9.28 -2.41 -1.597 0.32258 -17.85 7.56136E-01 26.98 3.42764E-01 156.00 LEFT
60.00 -12.50 -5.19 -4.451 0.30208 -17.25 5.48796E-01 8.97 2.36734E-01 139.40 LEFT
62.00 -16.80 -9.29 -8.579 0.29183 -17.00 3.42491E-01 -15.09 1.44195E-01 116.15 LEFT
64.00 -21.92 -15.07 -14.250 0.28626 -19.59 1.76091E-01 -62.33 8.00250E-02 73.05 LEFT
66.00 -22.46 -14.39 -13.759 0.16459 -19.78 1.90377E-01 -144.70 7.51775E-02 7.33 LEFT
68.00 -19.43 -9.47 -9.055 0.13205 -16.13 3.35279E-01 174.57 1.06538E-01 -32.16 LEFT
70.00 -17.47 -6.37 -6.047 0.11519 -14.25 4.79096E-01 150.84 1.33551E-01 -55.23 LEFT
72.00 -16.61 -4.48 -4.222 0.09773 -12.81 5.95732E-01 131.34 1.47366E-01 -73.19 LEFT
74.00 -16.58 -3.36 -3.154 0.08037 -11.46 6.77988E-01 113.16 1.47884E-01 -89.39 LEFT
76.00 -17.22 -2.79 -2.634 0.06398 -10.13 7.23858E-01 95.30 1.37356E-01 -105.06 LEFT
78.00 -18.48 -2.66 -2.549 0.04910 -8.77 7.34436E-01 77.30 1.18910E-01 -120.79 LEFT
80.00 -20.34 -2.92 -2.838 0.03607 -7.38 7.13207E-01 58.86 9.58986E-02 -136.97 LEFT
82.00 -22.90 -3.52 -3.468 0.02509 -5.96 6.65470E-01 39.74 7.14634E-02 -153.92 LEFT
84.00 -26.32 -4.45 -4.423 0.01619 -4.52 5.97704E-01 19.70 4.82067E-02 -171.95 LEFT
86.00 -31.04 -5.71 -5.700 0.00924 -3.05 5.16869E-01 -1.56 2.79854E-02 168.58 LEFT
88.00 -38.52 -7.32 -7.314 0.00395 -1.56 4.29716E-01 -24.47 1.18302E-02 147.27 LEFT
90.00 -999.99 -9.29 -9.293 0.00000 0.00 3.42279E-01 -49.70 1.42466E-12 -56.41 LINEAR
